<root>
  <name value="Fast Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="3H" arrival="50H" departure="10H"/>
  <rate length="3H" arrival="10H" departure="50H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <simulation monitored="0.05" search="0.0" arrival="0.9" departure="0.9" seed="6"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0"/>
</root>

--------------------------
567.61 A L1
567.61 P L1 1.0 0:0.088 20:0.108 40:0.112 60:0.113 80:0.113 100:0.111 120:0.106 140:0.097 160:0.077 180:0.075
567.61 P L2 0.94902827339 0:0.117 20:0.088 40:0.095 60:0.098 80:0.099 100:0.099 120:0.098 140:0.096 160:0.089 180:0.121
567.61 C L1 1
567.61 C L2 0
621.26 C L1 0
621.26 C L2 0
735.89 C L1 0
735.89 C L2 0
796.33 C L1 1
796.33 C L2 0
928.29 C L1 0
928.29 C L2 0
1086.70 C L1 1
1086.70 C L2 0
1344.94 C L1 0
1344.94 C L2 0
1424.00 C L1 0
1424.00 C L2 0
1666.61 C L1 1
1666.61 C L2 0
1827.48 C L1 1
1827.48 C L2 1
2199.88 C L1 2
2199.88 C L2 1
2210.26 C L1 3
2210.26 C L2 1
2512.49 C L1 2
2512.49 C L2 1
2530.50 C L1 3
2530.50 C L2 1
2557.21 C L1 2
2557.21 C L2 1
1467.61 P* L1 0.952969805871 0:0.112 20:0.094 40:0.106 60:0.110 80:0.110 100:0.108 120:0.102 140:0.090 160:0.073 180:0.095
2367.61 P* L1 0.938043280451 0:0.129 20:0.088 40:0.100 60:0.105 80:0.107 100:0.104 120:0.098 140:0.087 160:0.073 180:0.110
1467.61 P* L2 0.93694062606 0:0.130 20:0.083 40:0.092 60:0.096 80:0.097 100:0.097 120:0.096 140:0.092 160:0.084 180:0.134
2367.61 P* L2 0.930913196793 0:0.138 20:0.082 40:0.089 60:0.093 80:0.095 100:0.096 120:0.094 140:0.089 160:0.082 180:0.142
2768.51 A L1
2768.51 P L1 1.0 0:0.073 20:0.093 40:0.103 60:0.109 80:0.111 100:0.108 120:0.102 140:0.091 160:0.079 180:0.130
2768.51 P L2 0.927180073242 0:0.144 20:0.081 40:0.087 60:0.091 80:0.093 100:0.094 120:0.092 140:0.087 160:0.082 180:0.148
2768.51 C L1 3
2768.51 C L2 1
2988.51 C L1 3
2988.51 C L2 0
3165.97 C L1 2
3165.97 C L2 0
3363.87 C L1 1
3363.87 C L2 0
3465.19 C L1 0
3465.19 C L2 0
3613.78 C L1 1
3613.78 C L2 0
3875.54 C L1 2
3875.54 C L2 0
3907.88 C L1 3
3907.88 C L2 0
4258.22 C L1 2
4258.22 C L2 0
4459.62 C L1 3
4459.62 C L2 0
4578.68 C L1 2
4578.68 C L2 0
4919.67 C L1 1
4919.67 C L2 0
4974.89 C L1 0
4974.89 C L2 0
5115.52 C L1 0
5115.52 C L2 0
5404.80 C L1 1
5404.80 C L2 0
5587.67 C L1 2
5587.67 C L2 0
5711.37 C L1 3
5711.37 C L2 0
5722.38 C L1 4
5722.38 C L2 0
5884.17 C L1 4
5884.17 C L2 1
5961.20 C L1 4
5961.20 C L2 2
6038.91 C L1 4
6038.91 C L2 1
6076.90 C L1 3
6076.90 C L2 1
6412.74 C L1 2
6412.74 C L2 1
6452.85 C L1 2
6452.85 C L2 0
6510.06 C L1 3
6510.06 C L2 0
6541.47 C L1 4
6541.47 C L2 0
6810.00 C L1 3
6810.00 C L2 0
6863.07 C L1 2
6863.07 C L2 0
7347.03 C L1 3
7347.03 C L2 0
7370.72 C L1 4
7370.72 C L2 0
7405.71 C L1 3
7405.71 C L2 0
3668.51 P* L1 0.959934903233 0:0.096 20:0.083 40:0.097 60:0.105 80:0.107 100:0.105 120:0.099 140:0.090 160:0.080 180:0.139
4568.51 P* L1 0.946312198374 0:0.113 20:0.079 40:0.092 60:0.100 80:0.103 100:0.101 120:0.097 140:0.089 160:0.081 180:0.145
5468.51 P* L1 0.938730079972 0:0.124 20:0.078 40:0.089 60:0.096 80:0.099 100:0.098 120:0.095 140:0.089 160:0.082 180:0.151
6368.51 P* L1 0.933739074014 0:0.132 20:0.078 40:0.086 60:0.093 80:0.096 100:0.096 120:0.093 140:0.088 160:0.083 180:0.155
7268.51 P* L1 0.930191696511 0:0.138 20:0.078 40:0.085 60:0.090 80:0.093 100:0.094 120:0.091 140:0.088 160:0.084 180:0.159
8168.51 P* L1 0.927560636049 0:0.143 20:0.079 40:0.084 60:0.089 80:0.091 100:0.092 120:0.090 140:0.087 160:0.084 180:0.161
3668.51 P* L2 0.924614786463 0:0.149 20:0.081 40:0.086 60:0.090 80:0.092 100:0.092 120:0.090 140:0.086 160:0.082 180:0.153
4568.51 P* L2 0.922748971656 0:0.152 20:0.082 40:0.085 60:0.088 80:0.090 100:0.090 120:0.089 140:0.086 160:0.082 180:0.156
5468.51 P* L2 0.921346772745 0:0.154 20:0.082 40:0.085 60:0.087 80:0.089 
