<root>
  <name value="High Churn"/>
  <lot name="L1" capacity="200" count="200" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="200" weight="0.1" poi="A" order="1"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <rate length="4H" arrival="200H" departure="150H"/>
  <rate length="4H" arrival="150H" departure="200H"/>
  <simulation monitored="0.2" search="0.0" arrival="0.9" departure="0.9" seed="7"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0" monitored="0.189858619718"/>
</root>

--------------------------
3.92 C L1 200
3.92 C L2 199
7.04 C L1 200
7.04 C L2 200
8.35 C L1 200
8.35 C L2 200
10.73 C L1 200
10.73 C L2 200
14.85 D L1
14.85 P L1 1.0 0:0.083 20:0.102 40:0.102 60:0.102 80:0.102 100:0.102 120:0.102 140:0.102 160:0.102 180:0.098
14.85 P L2 0.985523581596 0:0.100 20:0.099 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.100 160:0.099 180:0.105
14.85 C L1 199
14.85 C L2 200
23.06 C L1 198
23.06 C L2 200
26.22 C L1 199
26.22 C L2 200
34.60 A L1
34.6 P L1 1.0 0:0.074 20:0.103 40:0.103 60:0.103 80:0.103 100:0.103 120:0.103 140:0.103 160:0.103 180:0.099
34.6 P L2 0.98262385024 0:0.100 20:0.099 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.099 180:0.105
34.60 C L1 200
34.60 C L2 200
55.13 C L1 200
55.13 C L2 200
63.70 C L1 199
63.70 C L2 200
66.00 C L1 200
66.00 C L2 200
70.42 D L1
70.42 P L1 1.0 0:0.066 20:0.103 40:0.106 60:0.106 80:0.106 100:0.106 120:0.106 140:0.106 160:0.105 180:0.092
70.42 P L2 0.981158034461 0:0.101 20:0.098 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.099 180:0.105
70.42 C L1 199
70.42 C L2 200
89.53 A L1
89.53 P L1 1.0 0:0.061 20:0.103 40:0.106 60:0.106 80:0.106 100:0.106 120:0.106 140:0.106 160:0.105 180:0.093
89.53 P L2 0.98023979617 0:0.101 20:0.098 40:0.099 60:0.099 80:0.100 100:0.100 120:0.099 140:0.099 160:0.098 180:0.106
89.53 C L1 200
89.53 C L2 200
104.38 C L1 200
104.38 C L2 199
115.57 C L1 200
115.57 C L2 200
132.91 D L1
132.91 P L1 1.0 0:0.055 20:0.102 40:0.108 60:0.108 80:0.108 100:0.108 120:0.108 140:0.108 160:0.106 180:0.087
132.91 P L2 0.979596408459 0:0.102 20:0.097 40:0.099 60:0.099 80:0.100 100:0.100 120:0.099 140:0.099 160:0.097 180:0.107
132.91 C L1 199
132.91 C L2 200
157.90 C L1 199
