<root>
  <name value="Low Churn"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="1"/>
  <rate length="4H" arrival="50H" departure="40H"/>
  <rate length="4H" arrival="40H" departure="50H"/>
  <rate length="4H" arrival="50H" departure="40H"/>
  <rate length="4H" arrival="40H" departure="50H"/>
  <rate length="4H" arrival="50H" departure="40H"/>
  <rate length="4H" arrival="40H" departure="50H"/>
  <simulation monitored="0.01" search="0.0" arrival="0.9" departure="0.9" seed="5"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0" monitored="0.0107110556122"/>
</root>

--------------------------
70.22 C L1 1
70.22 C L2 0
121.86 C L1 0
121.86 C L2 0
216.08 C L1 0
216.08 C L2 0
254.19 C L1 1
254.19 C L2 0
255.14 C L1 2
255.14 C L2 0
273.06 C L1 1
273.06 C L2 0
359.54 C L1 0
359.54 C L2 0
359.64 C L1 1
359.64 C L2 0
380.69 C L1 0
380.69 C L2 0
384.22 C L1 0
384.22 C L2 1
401.32 C L1 0
401.32 C L2 0
415.49 C L1 0
415.49 C L2 0
498.66 C L1 0
498.66 C L2 0
535.77 C L1 0
535.77 C L2 0
545.64 C L1 1
545.64 C L2 0
549.87 C L1 1
549.87 C L2 1
594.75 C L1 0
594.75 C L2 1
672.51 C L1 0
672.51 C L2 0
684.04 C L1 1
684.04 C L2 0
889.10 C L1 2
889.10 C L2 0
951.97 C L1 1
951.97 C L2 0
996.70 C L1 2
996.70 C L2 0
1026.69 C L1 3
1026.69 C L2 0
1128.72 C L1 2
1128.72 C L2 0
1146.30 C L1 1
1146.30 C L2 0
1212.43 C L1 2
1212.43 C L2 0
1267.33 C L1 3
1267.33 C L2 0
1393.36 C L1 4
1393.36 C L2 0
1571.76 C L1 5
1571.76 C L2 0
1581.83 C L1 6
1581.83 C L2 0
1661.28 C L1 5
1661.28 C L2 0
1693.52 C L1 6
1693.52 C L2 0
1828.92 C L1 5
1828.92 C L2 0
1831.20 C L1 6
1831.20 C L2 0
1842.61 C L1 7
1842.61 C L2 0
1913.61 C L1 8
1913.61 C L2 0
1936.49 C L1 9
1936.49 C L2 0
1946.59 C L1 8
1946.59 C L2 0
2047.51 C L1 9
2047.51 C L2 0
2074.90 C L1 8
2074.90 C L2 0
2095.38 C L1 9
2095.38 C L2 0
2152.40 C L1 10
2152.40 C L2 0
2274.55 C L1 11
2274.55 C L2 0
2336.84 C L1 10
2336.84 C L2 0
2348.92 C L1 11
2348.92 C L2 0
2503.40 C L1 10
2503.40 C L2 0
2574.67 C L1 10
2574.67 C L2 1
2666.24 C L1 11
2666.24 C L2 1
2666.46 C L1 11
2666.46 C L2 0
2728.85 C L1 12
2728.85 C L2 0
2741.40 C L1 13
2741.40 C L2 0
2800.59 C L1 12
2800.59 C L2 0
2823.67 C L1 11
2823.67 C L2 0
2824.79 C L1 12
2824.79 C L2 0
2841.70 C L1 11
2841.70 C L2 0
2859.25 C L1 12
2859.25 C L2 0
2897.24 C L1 13
2897.24 C L2 0
2899.89 C L1 14
2899.89 C L2 0
2929.74 C L1 15
2929.74 C L2 0
2968.84 C L1 16
2968.84 C L2 0
2979.88 C L1 17
2979.88 C L2 0
3051.85 C L1 16
3051.85 C L2 0
3051.93 C L1 15
3051.93 C L2 0
3065.58 C L1 14
3065.58 C L2 0
3116.44 C L1 13
3116.44 C L2 0
3159.43 C L1 12
3159.43 C L2 0
3186.50 C L1 11
3186.50 C L2 0
3221.10 C L1 10
3221.10 C L2 0
3227.70 C L1 11
3227.70 C L2 0
3252.67 C L1 12
3252.67 C L2 0
3279.43 C L1 11
3279.43 C L2 0
3304.80 C L1 10
3304.80 C L2 0
3307.43 C L1 11
3307.43 C L2 0
3336.03 C L1 10
3336.03 C L2 0
3368.22 C L1 9
3368.22 C L2 0
3374.10 C L1 10
3374.10 C L2 0
3436.14 C L1 9
3436.14 C L2 0
3438.44 C L1 10
3438.44 C L2 0
3546.93 C L1 11
3546.93 C L2 0
3618.95 C L1 12
3618.95 C L2 0
3654.76 C L1 13
3654.76 C L2 0
3659.68 C L1 12
3659.68 C L2 0
3710.72 C L1 11
3710.72 C L2 0
3724.58 C L1 10
3724.58 C L2 0
3760.72 C L1 9
3760.72 C L2 0
3767.10 C L1 8
3767.10 C L2 0
3782.35 C L1 9
3782.35 C L2 0
3865.15 C L1 8
3865.15 C L2 0
3887.42 C L1 7
3887.42 C L2 0
3900.44 C L1 6
3900.44 C L2 0
3985.32 C L1 5
3985.32 C L2 0
3989.33 C L1 4
3989.33 C L2 0
3994.67 C L1 3
3994.67 C L2 0
4007.65 C L1 2
4007.65 C L2 0
4068.18 C L1 1
4068.18 C L2 0
4175.73 C L1 0
4175.73 C L2 0
4242.98 C L1 1
4242.98 C L2 0
4300.74 C L1 2
4300.74 C L2 0
4311.08 C L1 3
4311.08 C L2 0
4325.31 C L1 4
4325.31 C L2 0
4392.86 C L1 3
4392.86 C L2 0
4404.69 C L1 4
4404.69 C L2 0
4417.40 C L1 3
4417.40 C L2 0
4432.11 C L1 2
4432.11 C L2 0
4443.21 C L1 1
4443.21 C L2 0
4456.76 C L1 0
4456.76 C L2 0
4493.24 C L1 0
4493.24 C L2 0
4519.30 C L1 1
4519.30 C L2 0
4537.11 C L1 0
4537.11 C L2 0
4617.93 C L1 0
4617.93 C L2 0
4636.82 C L1 1
4636.82 C L2 0
4639.72 C L1 2
4639.72 C L2 0
4639.75 C L1 3
4639.75 C L2 0
4663.23 C L1 2
4663.23 C L2 0
4678.82 C L1 1
4678.82 C L2 0
4680.05 C L1 2
4680.05 C L2 0
4693.67 C L1 1
4693.67 C L2 0
4704.42 C L1 2
4704.42 C L2 0
4785.08 C L1 3
4785.08 C L2 0
4864.59 C L1 4
4864.59 C L2 0
4877.42 C L1 5
4877.42 C L2 0
4883.28 C L1 6
4883.28 C L2 0
4910.19 C L1 7
4910.19 C L2 0
4926.22 C L1 6
4926.22 C L2 0
5001.31 C L1 7
5001.31 C L2 0
5001.77 C L1 8
5001.77 C L2 0
5005.08 C L1 9
5005.08 C L2 0
5036.10 C L1 10
5036.10 C L2 0
5084.74 C L1 10
5084.74 C L2 1
5088.47 C L1 11
5088.47 C L2 1
5126.15 C L1 12
5126.15 C L2 1
5180.15 C L1 11
5180.15 C L2 1
5248.36 C L1 10
5248.36 C L2 1
5318.62 C L1 10
5318.62 C L2 0
5340.34 C L1 9
5340.34 C L2 0
5382.63 C L1 10
5382.63 C L2 0
5416.60 C L1 9
5416.60 C L2 0
5439.42 C L1 8
5439.42 C L2 0
5558.44 C L1 9
5558.44 C L2 0
5564.60 C L1 10
5564.60 C L2 0
5572.64 C L1 9
5572.64 C L2 0
5577.07 C L1 8
5577.07 C L2 0
5586.40 C L1 7
5586.40 C L2 0
5626.55 C L1 8
5626.55 C L2 0
5659.49 C L1 7
5659.49 C L2 0
5688.11 C L1 8
5688.11 C L2 0
5808.47 C L1 9
5808.47 C L2 0
5821.83 C L1 10
5821.83 C L2 0
5826.56 C L1 11
5826.56 C L2 0
5830.30 C L1 12
5830.30 C L2 0
5938.12 C L1 11
5938.12 C L2 0
5978.63 C L1 10
5978.63 C L2 0
6044.88 C L1 11
6044.88 C L2 0
6058.40 C L1 12
6058.40 C L2 0
6136.49 C L1 11
6136.49 C L2 0
6172.42 C L1 12
6172.42 C L2 0
6192.11 C L1 11
6192.11 C L2 0
6201.95 C L1 10
6201.95 C L2 0
6370.67 C L1 11
6370.67 C L2 0
6524.41 C L1 12
6524.41 C L2 0
6540.58 C L1 13
6540.58 C L2 0
6545.50 C L1 12
6545.50 C L2 0
6560.49 C L1 13
6560.49 C L2 0
6571.61 C L1 14
6571.61 C L2 0
6584.98 C L1 15
6584.98 C L2 0
6600.99 C L1 16
6600.99 C L2 0
6710.55 C L1 15
6710.55 C L2 0
6711.46 C L1 14
6711.46 C L2 0
6744.17 C L1 15
6744.17 C L2 0
6755.81 C L1 14
6755.81 C L2 0
6778.92 C L1 15
6778.92 C L2 0
6858.78 C L1 16
6858.78 C L2 0
6923.60 C L1 17
6923.60 C L2 0
6929.43 C L1 18
6929.43 C L2 0
7032.07 C L1 19
7032.07 C L2 0
7055.18 C L1 20
7055.18 C L2 0
7119.34 C L1 19
7119.34 C L2 0
7134.99 C L1 20
7134.99 C L2 0
7187.34 C L1 21
7187.34 C L2 0
7243.88 C L1 22
7243.88 C L2 0
7258.00 C L1 23
7258.00 C L2 0
7283.29 C L1 22
7283.29 C L2 0
7326.45 C L1 23
7326.45 C L2 0
7343.67 C L1 24
7343.67 C L2 0
7355.84 C L1 23
7355.84 C L2 0
7378.74 C L1 22
7378.74 C L2 0
7507.51 C L1 23
7507.51 C L2 0
7561.68 C L1 23
7561.68 C L2 1
7568.51 C L1 23
7568.51 C L2 0
7579.57 C L1 22
7579.57 C L2 0
7598.56 C L1 21
7598.56 C L2 0
7628.63 C L1 22
7628.63 C L2 0
7716.05 C L1 21
7716.05 C L2 0
7855.53 C L1 22
7855.53 C L2 0
7902.16 C L1 23
7902.16 C L2 0
7909.18 C L1 24
7909.18 C L2 0
7951.25 C L1 23
7951.25 C L2 0
8011.35 C L1 23
8011.35 C L2 1
8063.63 C L1 22
8063.63 C L2 1
8084.43 C L1 21
8084.43 C L2 1
8206.69 C L1 20
8206.69 C L2 1
8249.02 C L1 19
8249.02 C L2 1
8252.92 C L1 20
8252.92 C L2 1
8258.32 C L1 21
8258.32 C L2 1
8267.26 C L1 22
8267.26 C L2 1
8352.62 C L1 21
8352.62 C L2 1
8447.68 C L1 22
8447.68 C L2 1
8460.04 C L1 22
8460.04 C L2 0
8477.27 C L1 23
8477.27 C L2 0
8500.03 C L1 24
8500.03 C L2 0
8509.18 C L1 23
8509.18 C L2 0
8548.76 C L1 22
8548.76 C L2 0
8556.15 C L1 23
8556.15 C L2 0
8589.07 C L1 22
8589.07 C L2 0
8590.90 C L1 23
8590.90 C L2 0
8614.47 C L1 23
8614.47 C L2 1
8618.39 C L1 24
8618.39 C L2 1
8683.21 C L1 24
8683.21 C L2 2
8685.85 C L1 25
8685.85 C L2 2
8835.12 C L1 26
8835.12 C L2 2
8918.59 C L1 26
8918.59 C L2 1
9055.24 C L1 25
9055.24 C L2 1
9077.22 C L1 24
9077.22 C L2 1
9107.60 C L1 24
9107.60 C L2 0
9162.67 C L1 23
9162.67 C L2 0
9336.19 C L1 24
9336.19 C L2 0
9357.58 C L1 23
9357.58 C L2 0
9569.36 C L1 23
9569.36 C L2 1
9585.10 C L1 22
9585.10 C L2 1
9609.71 C L1 23
9609.71 C L2 1
9696.88 C L1 24
9696.88 C L2 1
9719.43 C L1 23
9719.43 C L2 1
9730.72 C L1 24
9730.72 C L2 1
9787.47 C L1 25
9787.47 C L2 1
9875.55 C L1 26
9875.55 C L2 1
9926.06 C L1 27
9926.06 C L2 1
9976.05 C L1 28
9976.05 C L2 1
9977.61 C L1 29
9977.61 C L2 1
10023.36 C L1 28
10023.36 C L2 1
10163.91 C L1 28
10163.91 C L2 2
10177.03 C L1 28
10177.03 C L2 3
10272.60 C L1 28
10272.60 C L2 2
10272.98 C L1 29
10272.98 C L2 2
10304.10 C L1 30
10304.10 C L2 2
10304.60 C L1 29
10304.60 C L2 2
10318.57 C L1 29
10318.57 C L2 1
10347.66 C L1 30
10347.66 C L2 1
10418.42 C L1 31
10418.42 C L2 1
10440.43 C L1 32
10440.43 C L2 1
10454.45 C L1 33
10454.45 C L2 1
10456.37 C L1 32
10456.37 C L2 1
10513.76 C L1 33
10513.76 C L2 1
10517.74 C L1 33
10517.74 C L2 0
10522.76 C L1 33
10522.76 C L2 1
10540.28 C L1 32
10540.28 C L2 1
10605.71 C L1 33
10605.71 C L2 1
10634.48 C L1 33
10634.48 C L2 0
10661.41 C L1 32
10661.41 C L2 0
10679.90 C L1 32
10679.90 C L2 1
10697.46 C L1 33
10697.46 C L2 1
10704.11 C L1 34
10704.11 C L2 1
10726.68 C L1 34
10726.68 C L2 0
10774.08 C L1 35
10774.08 C L2 0
10787.49 C L1 34
10787.49 C L2 0
10856.62 C L1 33
10856.62 C L2 0
10905.59 C L1 32
10905.59 C L2 0
10915.85 C L1 31
10915.85 C L2 0
10943.51 C L1 30
10943.51 C L2 0
10949.17 C L1 31
10949.17 C L2 0
10954.66 C L1 30
10954.66 C L2 0
11021.16 C L1 31
11021.16 C L2 0
