<root>
  <name value="Multiple Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="1"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0"/>
</root>

--------------------------
51.94 C L1 1
51.94 C L2 0
266.83 A L1
266.83 P L1 1.0 0:0.075 20:0.100 40:0.102 60:0.103 80:0.103 100:0.103 120:0.103 140:0.102 160:0.100 180:0.111
266.83 C L1 2
266.83 C L2 0
676.86 D L1
676.86 P L1 1.0 0:0.062 20:0.099 40:0.107 60:0.108 80:0.108 100:0.108 120:0.108 140:0.107 160:0.103 180:0.090
676.86 C L1 1
676.86 C L2 0
917.16 C L1 2
917.16 C L2 0
928.34 C L1 3
928.34 C L2 0
1101.14 A L1
1101.14 P L1 1.0 0:0.074 20:0.105 40:0.112 60:0.113 80:0.113 100:0.113 120:0.112 140:0.107 160:0.090 180:0.061
1101.14 C L1 4
1101.14 C L2 0
1137.11 C L1 3
1137.11 C L2 0
1225.99 D L1
1225.99 P L1 1.0 0:0.062 20:0.102 40:0.114 60:0.117 80:0.117 100:0.117 120:0.115 140:0.108 160:0.090 180:0.058
1225.99 C L1 2
1225.99 C L2 0
1308.51 C L1 3
1308.51 C L2 0
1518.66 C L1 2
1518.66 C L2 0
1965.77 C L1 1
1965.77 C L2 0
2016.18 C L1 2
2016.18 C L2 0
2125.99 P* L1 0.985256618474 0:0.071 20:0.096 40:0.111 60:0.116 80:0.117 100:0.116 120:0.114 140:0.106 160:0.087 180:0.066
2365.23 D L1
2365.23 P L1 1.0 0:0.056 20:0.095 40:0.113 60:0.120 80:0.122 100:0.121 120:0.118 140:0.108 160:0.089 180:0.060
2365.23 C L1 1
2365.23 C L2 0
2690.13 C L1 2
2690.13 C L2 0
2939.98 C L1 1
2939.98 C L2 0
3127.23 C L1 2
3127.23 C L2 0
3195.63 C L1 1
3195.63 C L2 0
3369.41 C L1 2
3369.41 C L2 0
3620.56 C L1 2
3620.56 C L2 1
4329.11 C L1 3
4329.11 C L2 1
4639.52 C L1 4
4639.52 C L2 1
4666.47 C L1 3
4666.47 C L2 1
5448.79 C L1 3
5448.79 C L2 0
5745.46 C L1 2
5745.46 C L2 0
5773.26 C L1 3
5773.26 C L2 0
5932.12 C L1 4
5932.12 C L2 0
6049.29 C L1 3
6049.29 C L2 0
6119.51 C L1 2
6119.51 C L2 0
6273.37 C L1 3
6273.37 C L2 0
3265.23 P* L1 0.986283310564 0:0.065 20:0.090 40:0.110 60:0.118 80:0.121 100:0.120 120:0.116 140:0.106 160:0.086 180:0.068
4165.23 P* L1 0.980023856565 0:0.073 20:0.087 40:0.108 60:0.117 80:0.120 100:0.119 120:0.115 140:0.104 160:0.083 180:0.075
5065.23 P* L1 0.976000743948 0:0.080 20:0.085 40:0.105 60:0.115 80:0.119 100:0.118 120:0.113 140:0.102 160:0.082 180:0.081
5965.23 P* L1 0.97304429398 0:0.085 20:0.084 40:0.103 60:0.114 80:0.118 100:0.117 120:0.112 140:0.100 160:0.081 180:0.086
6675.90 A L1
6675.9 P L1 1.0 0:0.072 20:0.099 40:0.115 60:0.123 80:0.125 100:0.121 120:0.112 140:0.096 160:0.075 180:0.064
6675.90 C L1 4
6675.90 C L2 0
6693.72 C L1 3
6693.72 C L2 0
6719.66 C L1 2
6719.66 C L2 0
6779.26 C L1 3
6779.26 C L2 0
6834.39 C L1 2
6834.39 C L2 0
6909.38 C L1 1
6909.38 C L2 0
6993.83 D L1
6993.83 P L1 1.0 0:0.059 20:0.098 40:0.116 60:0.126 80:0.128 100:0.125 120:0.115 140:0.099 160:0.078 180:0.056
6993.83 C L1 0
6993.83 C L2 0
7010.38 C L1 1
7010.38 C L2 0
7050.84 C L1 0
7050.84 C L2 0
7418.53 C L1 1
7418.53 C L2 0
7599.38 C L1 2
7599.38 C L2 0
7621.19 C L1 3
7621.19 C L2 0
7626.32 C L1 2
7626.32 C L2 0
7752.89 A L1
7752.89 P L1 1.0 0:0.052 20:0.093 40:0.114 60:0.125 80:0.128 100:0.125 120:0.115 140:0.099 160:0.077 180:0.071
7752.89 C L1 3
7752.89 C L2 0
7766.81 C L1 4
7766.81 C L2 0
7834.55 C L1 5
7834.55 C L2 0
8090.53 C L1 6
8090.53 C L2 0
8116.62 C L1 5
8116.62 C L2 0
8494.20 C L1 6
8494.20 C L2 0
8511.36 C L1 5
8511.36 C L2 0
8654.32 C L1 4
8654.32 C L2 0
8740.56 C L1 3
8740.56 C L2 0
8892.25 C L1 2
8892.25 C L2 0
8652.89 P* L1 0.987171307201 0:0.061 20:0.089 40:0.112 60:0.123 80:0.127 100:0.123 120:0.114 140:0.098 160:0.076 180:0.077
9233.20 A L1
9233.2 P L1 1.0 0:0.067 20:0.103 40:0.122 60:0.130 80:0.130 100:0.123 120:0.110 140:0.091 160:0.068 180:0.056
9233.20 C L1 3
9233.20 C L2 0
10104.04 C L1 4
10104.04 C L2 0
10416.56 C L1 3
10416.56 C L2 0
10766.32 C L1 4
10766.32 C L2 0
10133.2 P* L1 0.983458754328 0:0.076 20:0.099 40:0.119 60:0.128 80:0.128 100:0.121 120:0.108 140:0.090 160:0.068 180:0.062
10818.67 A L1
10818.67 P L1 1.0 0:0.078 20:0.113 40:0.129 60:0.134 80:0.131 100:0.121 120:0.104 140:0.083 160:0.060 180:0.046
10818.67 C L1 5
10818.67 C L2 0
11143.96 C L1 4
11143.96 C L2 0
11487.76 C L1 3
11487.76 C L2 0
11542.70 C L1 4
11542.70 C L2 0
11578.92 C L1 3
11578.92 C L2 0
11841.91 C L1 4
11841.91 C L2 0
11718.67 P* L1 0.980939444894 0:0.086 20:0.109 40:0.126 60:0.132 80:0.129 100:0.119 120:0.103 140:0.083 160:0.060 180:0.051
11876.53 A L1
11876.53 P L1 1.0 0:0.067 20:0.108 40:0.127 60:0.134 80:0.131 100:0.121 120:0.105 140:0.085 160:0.062 180:0.058
11876.53 C L1 5
11876.53 C L2 0
12135.68 C L1 4
12135.68 C L2 0
12235.15 C L1 3
12235.15 C L2 0
12406.24 C L1 2
12406.24 C L2 0
12511.45 C L1 1
12511.45 C L2 0
12526.00 C L1 0
12526.00 C L2 0
12852.79 C L1 0
12852.79 C L2 0
12876.20 C L1 0
12876.20 C L2 0
13473.54 C L1 1
13473.54 C L2 0
