<root>
  <name value="Slow Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <rate length="6H" arrival="60H" departure="10H"/>
  <rate length="6H" arrival="10H" departure="60H"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="2"/>
  <estimation error="0.2" interval="900.0" seed="None" search="1.0" monitored="0.0870719029117"/>
</root>

--------------------------
1063.15 C L1 0
1063.15 C L2 0
1124.76 C L1 1
1124.76 C L2 0
1460.02 C L1 2
1460.02 C L2 0
1662.80 C L1 3
1662.80 C L2 0
1712.89 C L1 2
1712.89 C L2 0
1726.06 C L1 1
1726.06 C L2 0
1898.17 C L1 0
1898.17 C L2 0
1995.13 C L1 0
1995.13 C L2 0
2048.05 C L1 0
2048.05 C L2 0
2452.09 C L1 0
2452.09 C L2 0
2736.94 C L1 1
2736.94 C L2 0
3025.70 C L1 0
3025.70 C L2 0
3088.97 C L1 0
3088.97 C L2 0
3298.34 C L1 1
3298.34 C L2 0
3311.74 C L1 0
3311.74 C L2 0
3548.48 C L1 1
3548.48 C L2 0
4011.63 C L1 2
4011.63 C L2 0
4139.59 C L1 1
4139.59 C L2 0
4444.55 C L1 2
4444.55 C L2 0
4697.16 C L1 3
4697.16 C L2 0
4831.70 C L1 4
4831.70 C L2 0
5012.01 C L1 3
5012.01 C L2 0
900.0 P* L1 0.970130548549 0:0.104 20:0.096 40:0.099 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.096 180:0.109
1800.0 P* L1 0.963327510589 0:0.109 20:0.092 40:0.098 60:0.099 80:0.099 100:0.099 120:0.099 140:0.098 160:0.093 180:0.113
2700.0 P* L1 0.959918957323 0:0.113 20:0.090 40:0.096 60:0.099 80:0.099 100:0.099 120:0.099 140:0.097 160:0.090 180:0.117
3600.0 P* L1 0.957787761465 0:0.117 20:0.089 40:0.095 60:0.098 80:0.099 100:0.099 120:0.098 140:0.096 160:0.089 180:0.121
4500.0 P* L1 0.956295754351 0:0.119 20:0.088 40:0.094 60:0.098 80:0.099 100:0.099 120:0.098 140:0.094 160:0.088 180:0.123
900.0 P* L2 0.970130548549 0:0.104 20:0.096 40:0.099 60:0.099 80:0.099 100:0.099 120:0.099 140:0.099 160:0.096 180:0.109
1800.0 P* L2 0.963327510589 0:0.109 20:0.092 40:0.098 60:0.099 80:0.099 100:0.099 120:0.099 140:0.098 160:0.093 180:0.113
2700.0 P* L2 0.959918957323 0:0.113 20:0.090 40:0.096 60:0.099 80:0.099 100:0.099 120:0.099 140:0.097 160:0.090 180:0.117
3600.0 P* L2 0.957787761465 0:0.117 20:0.089 40:0.095 60:0.098 80:0.099 100:0.099 120:0.098 140:0.096 160:0.089 180:0.121
4500.0 P* L2 0.956295754351 0:0.119 20:0.088 40:0.094 60:0.098 80:0.099 100:0.099 120:0.098 140:0.094 160:0.088 180:0.123
5183.14 A L1
5183.14 P L1 1.0 0:0.084 20:0.100 40:0.105 60:0.108 80:0.109 100:0.108 120:0.105 140:0.099 160:0.090 180:0.091
